Wavenumber [cm^-1];3 min;30 min;60 min;90 min;120 min;150 min;180 min;300 min;360 min;1800 min
542,8634;0,005889736;0,006735941;0,039318716;0,033526065;0,020593188;0,038624567;0,031984727;0,036113756;0,017270688;0,006359071
543,1044;0,005896761;0,006856105;0,039334851;0,033851545;0,021469024;0,037564424;0,033845476;0,036631679;0,017760893;0,006313526
543,3455;0,006150553;0,006982626;0,039542661;0,034383771;0,022311111;0,03615043;0,035418453;0,037183422;0,018435526;0,00620443
543,5865;0,006289273;0,007136186;0,040189194;0,035007587;0,023157875;0,034606705;0,036823951;0,037935098;0,019288191;0,006091076
543,8276;0,00664576;0,007520403;0,041257401;0,035938847;0,023870987;0,033124629;0,037658574;0,038706091;0,020276383;0,00586978
544,0687;0,006994645;0,008110519;0,042787253;0,037043474;0,02434336;0,031760511;0,037812219;0,039478607;0,021285555;0,0056151
544,3098;0,007262426;0,009065632;0,04448895;0,038135868;0,024772894;0,03091855;0,037500385;0,040227446;0,022212805;0,005364644
544,5508;0,007494535;0,010468585;0,046102964;0,039094149;0,0252458;0,030711755;0,036856168;0,040879413;0,022968885;0,00515869
544,7919;0,007788011;0,012338194;0,047415445;0,039861374;0,02583465;0,031114907;0,036081871;0,041394794;0,023513592;0,005046134
545,0329;0,008303714;0,014552042;0,04827074;0,040526186;0,026587872;0,032101725;0,035422589;0,041806002;0,023859229;0,005093219
545,274;0,009125084;0,016959348;0,048672299;0,041218541;0,027502736;0,033555487;0,035108426;0,042188421;0,024074792;0,005334013
545,515;0,010007581;0,019640692;0,04894867;0,041856782;0,028483869;0,034948714;0,035284575;0,042578265;0,024278684;0,005674668
545,7561;0,011130745;0,022088093;0,049122402;0,042816264;0,029403243;0,036528086;0,035880441;0,043087118;0,024519902;0,00614389
545,9971;0,012151535;0,024276532;0,049340943;0,043949032;0,030359483;0,038390621;0,037091917;0,043826794;0,024858848;0,006629664
546,2382;0,012912592;0,026047129;0,049795441;0,04520164;0,031203662;0,040361499;0,038657406;0,044756777;0,025287819;0,007010916
546,4792;0,013299176;0,027304964;0,050576345;0,046450334;0,031873807;0,042288939;0,040349804;0,045808282;0,025764518;0,007190799
546,7203;0,013299226;0,028017056;0,051704004;0,047573967;0,032354388;0,043971421;0,041972913;0,046881891;0,026235442;0,007124189
546,9614;0,013004073;0,028221245;0,053136091;0,048496361;0,032664418;0,045198155;0,04339973;0,047876213;0,026662841;0,006833324
547,2025;0,012567116;0,028028431;0,054774405;0,049199217;0,032849497;0,045830739;0,044586854;0,048717745;0,027043117;0,006403233
547,4435;0,012139386;0,027600957;0,056483818;0,049706956;0,032969437;0,045861483;0,045558482;0,049385694;0,027403719;0,005954903
547,6846;0,011816722;0,027123938;0,058110881;0,050059132;0,033081109;0,045420568;0,046362017;0,049918745;0,027786045;0,00560818
547,9256;0,011596584;0,026766558;0,05953284;0,050280792;0,033216141;0,044694811;0,047027353;0,050409411;0,028221797;0,005445357
548,1667;0,011538813;0,026623834;0,060568845;0,050483988;0,033435904;0,044052994;0,047570394;0,050976176;0,028714572;0,005495513
548,4077;0,011502367;0,026618949;0,061265045;0,050729865;0,033658723;0,043546434;0,047923734;0,051750555;0,029226173;0,005775458
548,6488;0,011296688;0,02693492;0,061775087;0,050966879;0,033888172;0,043018612;0,048122076;0,05275413;0,029742496;0,006156431
548,8898;0,011016234;0,027335628;0,06214252;0,051434274;0,034096876;0,042597447;0,048175115;0,053994418;0,030214945;0,006616464
549,1309;0,010783646;0,027739694;0,062436893;0,052292703;0,034324107;0,042358718;0,048192854;0,0553665;0,030637015;0,007089494
549,3719;0,010725585;0,028058597;0,062718754;0,053629713;0,034614591;0,042403146;0,048315388;0,056711892;0,03102321;0,007543045
549,613;0,010621788;0,028187956;0,063302552;0,055236757;0,034819799;0,042357809;0,04855992;0,057861078;0,031393527;0,007995842
549,8541;0,010744488;0,027884512;0,06386826;0,057147457;0,035168546;0,042982716;0,049181945;0,058790063;0,031756016;0,008537133
550,0952;0,011254383;0,027398265;0,064449677;0,059144113;0,035569329;0,044027168;0,049929065;0,059276047;0,032150378;0,009026478
550,3362;0,011984504;0,026754156;0,065023377;0,060900148;0,036088462;0,045482074;0,050835975;0,059422137;0,032577563;0,009469592
550,5773;0,01283049;0,026031503;0,065590107;0,062212515;0,036747515;0,047199813;0,051822577;0,059368916;0,033035669;0,009835473
550,8183;0,013680902;0,025328388;0,066184816;0,06301016;0,037555616;0,048981505;0,052816868;0,059297499;0,033529498;0,010096194
551,0594;0,014436479;0,024756928;0,066857854;0,063357536;0,038512436;0,050658629;0,053786749;0,059373669;0,034076247;0,010244341
551,3004;0,015030281;0,024431206;0,067648068;0,06340969;0,039603101;0,052156205;0,054741117;0,059699441;0,034701918;0,010299709
551,5415;0,015438648;0,02445234;0,068565506;0,063334473;0,040793984;0,053505011;0,055704872;0,060291599;0,035428708;0,010307102
551,7825;0,015679941;0,024881011;0,069595418;0,063239033;0,04203181;0,054797969;0,056688612;0,061092056;0,036255321;0,010323656
552,0236;0,015806199;0,025720838;0,070719252;0,063134622;0,043248651;0,056110356;0,057665237;0,062002596;0,037147852;0,010403375
552,2646;0,015880781;0,026914402;0,071939557;0,062947887;0,044376834;0,057424393;0,058572945;0,062925735;0,038039105;0,010580604
552,5057;0,016007529;0,028300322;0,07324018;0,06262148;0,045378829;0,058706358;0,059341035;0,063807454;0,038839876;0,010881359
552,7468;0,016248371;0,029706439;0,074621096;0,062119525;0,046248551;0,059839862;0,059921506;0,064635662;0,039471216;0,011301218
552,9879;0,016579909;0,031163851;0,076311103;0,061405121;0,046779197;0,060127104;0,060007257;0,065272157;0,039906326;0,011709488
