Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
246,95865;2,84E-04;1,31E-04;4,21E-04;0,001790742;0,001977073;9,88E-04
247,92291;1,84E-05;-3,83E-05;6,21E-04;0,001507927;0,001763453;0,001555927
248,88717;6,26E-05;-3,87E-04;0,001221429;9,85E-04;0,001689834;0,002323612
249,85143;4,67E-04;-3,76E-04;0,002001413;9,72E-04;0,001946215;0,002551296
250,8157;9,81E-04;4,51E-05;0,002381396;0,00151948;0,002262596;0,002028981
251,77996;0,001435234;1,26E-04;0,002051379;0,002066664;0,002248977;0,001376666
252,74422;0,001679433;-3,73E-04;0,001481361;0,002203848;0,001615358;0,00105435
253,70848;0,001683631;-8,52E-04;0,001431343;0,001991031;6,42E-04;0,001022034
254,67274;0,001627829;-9,40E-04;0,002031324;0,001878214;2,81E-05;0,001169718
255,637;0,001782026;-7,49E-04;0,002621305;0,002085396;1,25E-04;0,001417401
256,60126;0,002136222;-3,58E-04;0,002611285;0,002432578;7,21E-04;0,001545085
257,56552;0,002390418;-7,71E-05;0,002211264;0,002799759;0,001347261;0,001442767
258,52978;0,002334613;-2,26E-04;0,002051241;0,003126939;0,001783641;0,001480449
259,49404;0,001938807;-6,55E-04;0,002261218;0,003024119;0,00218002;0,001998131
260,4583;0,001253;-0,001013738;0,002481194;0,002321297;0,002466399;0,002605812
261,42256;8,87E-04;-0,001142625;0,002551169;0,001618475;0,002422778;0,002673492
262,38682;0,001351383;-9,92E-04;0,002451142;0,001705652;0,002209156;0,002261172
263,35109;0,002135572;-7,30E-04;0,002181114;0,002612828;0,002015533;0,00195885
264,31535;0,002699761;-6,09E-04;0,001931084;0,003460003;0,00197191;0,002036528
265,27961;0,003043947;-5,18E-04;0,001861053;0,003527176;0,002178285;0,002324205
266,24387;0,003158132;2,92E-06;0,001981021;0,003064349;0,00242466;0,002601881
267,20813;0,003112316;8,94E-04;0,002190986;0,00274152;0,002621035;0,002639555
